ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates,iso_region_len
US-0574,small_airport,Wilt RLA Airport,820.0,,US,US-IL,WALNUT,IL76,,IL76,"-89.5525, 41.53375",5
US-0576,small_airport,Spring Creek Ranch Airport,933.0,,US,US-OK,TISHOMINGO,73OK,,73OK,"-96.734861, 34.357027",5
US-0578,small_airport,Durin RLA Airport,824.0,,US,US-IL,STEWARD,IL53,,IL53,"-89.030097, 41.785829",5
US-0579,small_airport,Friends Field,621.0,,US,US-IL,SERENA,7IL9,,7IL9,"-88.705069, 41.481494",5
US-0580,small_airport,Chips Airport,573.0,,US,US-TX,SEGUIN,TA85,,TA85,"-98.06058, 29.565891",5
US-0581,small_airport,Lost Airfield,45.0,,US,US-LA,CHURCH POINT,71LA,,71LA,"-92.234197, 30.421204",5
US-0583,small_airport,Rancho San Lorenzo Airport,3628.0,,US,US-TX,CLINT,TA62,,TA62,"-106.203631, 31.55855",5
US-0587,small_airport,Lone Tree Airport,1799.0,,US,US-SD,CROCKER,SD59,,SD59,"-97.844861, 45.022277",5
US-0588,small_airport,K-John Airport,21.0,,US,US-LA,CROWLEY,20LS,,20LS,"-92.319794, 30.219711",5
US-0589,small_airport,North Fox Island Airport,639.0,,US,US-MI,NORTH FOX ISLAND,,,6Y3,"-85.780422, 45.482269",5
US-0590,small_airport,Bison Hill Airport,1304.0,,US,US-OK,NORMAN,80OK,,80OK,"-97.548228, 35.158382",5
US-0593,small_airport,Lynnhaven Field,1100.0,,US,US-VA,MCGAHEYSVILLE,VA49,,VA49,"-78.754443, 38.331111",5
US-0597,small_airport,Big Horn County Airport,3025.0,,US,US-MT,HARDIN,,,00U,"-107.660472, 45.744416",5
US-0600,small_airport,Limerick Airport,362.0,,US,US-ME,LIMERICK,,,,"-70.777597, 43.6989",5
US-0601,small_airport,Stony Mountain Lodge Airport,1197.0,,US,US-AK,LIME VILLAGE,AK53,,AK53,"-153.797888, 61.257089",5
US-0602,small_airport,Wilkeys Airport,463.0,,US,US-TX,LARUE,TA50,,TA50,"-95.635514, 32.175986",5
US-0606,small_airport,Sword's Landing Airport,553.0,,US,US-TX,GREENVILLE,77TA,,77TA,"-96.011944, 33.150833",5
